assembly Constituency,Candidate Name,Party,Status,Votes,Margin,state
Chilakaluripet(96),SAI GANESH KORNEPATI,Independent,lost,56,( -111006),andraprdesh
Chilakaluripet(96),TANUBODDI SUNDARARAMIREDDY,Independent,lost,44,( -111018),andraprdesh
Chilakaluripet(96),SAMBASIVARAO PONNEGANTI,Independent,lost,39,( -111023),andraprdesh
Chilakaluripet(96),GOUTHAM KATA,Independent,lost,39,( -111023),andraprdesh
Chilakaluripet(96),RAMI REDDY MARELLA,Independent,lost,34,( -111028),andraprdesh
Chilakaluripet(96),CHELLI. DAYARATHNAM,Independent,lost,34,( -111028),andraprdesh
Chilakaluripet(96),VANTARI. VIJAYAMMA,Independent,lost,28,( -111034),andraprdesh
Chilakaluripet(96),VINOD KUMAR DOPPALAPUDI,Bharatha Chaitanya Yuvajana Party,lost,28,( -111034),andraprdesh
Chilakaluripet(96),SHAIK GOUSE BASHA,Rashtriya Jankranti Party,lost,28,( -111034),andraprdesh
Chilakaluripet(96),KUMAR SIVARAM VINAY. T,Independent,lost,27,( -111035),andraprdesh
Chilakaluripet(96),KATTA KIRAN KUMAR,Independent,lost,22,( -111040),andraprdesh
Chilakaluripet(96),NOTA,None of the Above,,788,( -110274),andraprdesh
Narasaraopet(97),ARAVINDA BABU CHADALAVADA,Telugu Desam,won,103167,(+ 19705),andraprdesh
Narasaraopet(97),GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,lost,83462,( -19705),andraprdesh
Narasaraopet(97),MAHABOOB BASHA SHAIK,Indian National Congress,lost,1820,( -101347),andraprdesh
Narasaraopet(97),BUDALA SAMELU,Bahujan Samaj Party,lost,828,( -102339),andraprdesh
Narasaraopet(97),GODA JOHN PAUL,Jaibhim Rao Bharat Party,lost,182,( -102985),andraprdesh
Narasaraopet(97),GOGULA MANOHAR,Bharatha Chaitanya Yuvajana Party,lost,119,( -103048),andraprdesh
Narasaraopet(97),ANIL KUMAR PATHRI,Independent,lost,100,( -103067),andraprdesh
Narasaraopet(97),SHAIK . MOULALI,Independent,lost,99,( -103068),andraprdesh
Narasaraopet(97),DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,lost,66,( -103101),andraprdesh
Narasaraopet(97),KUCHIPUDI CHANDRA SEKHAR,Independent,lost,52,( -103115),andraprdesh
Narasaraopet(97),SRIRAMINENI. PRASAD.,Independent,lost,50,( -103117),andraprdesh
Narasaraopet(97),MAHAMMAD MANZOOR SHAIK.,Independent,lost,47,( -103120),andraprdesh
Narasaraopet(97),KOTI REDDY.KUMMETA,Independent,lost,39,( -103128),andraprdesh
Narasaraopet(97),TALLAPANENI HARI KRISHNA,Pyramid Party of India,lost,34,( -103133),andraprdesh
Narasaraopet(97),NOTA,None of the Above,,1052,( -102115),andraprdesh
Sattenapalle(98),KANNA LAKSHMINARAYANA,Telugu Desam,won,117965,(+ 27836),andraprdesh
Sattenapalle(98),AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party,lost,90129,( -27836),andraprdesh
Sattenapalle(98),CHUKKA CHANDRA PAUL,Indian National Congress,lost,1580,( -116385),andraprdesh
Sattenapalle(98),PERUPOGU NAVEEN BABU,Bahujan Samaj Party,lost,647,( -117318),andraprdesh
Sattenapalle(98),JAKRIYA KANDUKURI,Independent,lost,213,( -117752),andraprdesh
Sattenapalle(98),JONNALAGADDA VIJAY KUMAR,Jaibhim Rao Bharat Party,lost,170,( -117795),andraprdesh
Sattenapalle(98),GODA VENKATA RAMANA,Jatiya Jana Sena Party,lost,119,( -117846),andraprdesh
Sattenapalle(98),PADI MANIKANTA,Independent,lost,108,( -117857),andraprdesh
Sattenapalle(98),YAMMOJI HANUMANTHA RAO,Yuga Thulasi Party,lost,107,( -117858),andraprdesh
Sattenapalle(98),MEKALA SUBBARAO,Independent,lost,90,( -117875),andraprdesh
Sattenapalle(98),RANGISETTI NAGESWARA RAO,Pyramid Party of India,lost,84,( -117881),andraprdesh
Sattenapalle(98),MEKALA VENUMADHAVA REDDY,Independent,lost,78,( -117887),andraprdesh
Sattenapalle(98),GADDAM RAMBABU,Independent,lost,63,( -117902),andraprdesh
Sattenapalle(98),SHEK DARIYAVALI,Jai Bharat National Party,lost,47,( -117918),andraprdesh
Sattenapalle(98),P. GOVINDA RAMESH BABU,Independent,lost,28,( -117937),andraprdesh
Sattenapalle(98),NOTA,None of the Above,,1140,( -116825),andraprdesh
Vinukonda(99),GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desam,won,131438,(+ 30267),andraprdesh
Vinukonda(99),BOLLA BRAHMA NAIDU,Yuvajana Sramika Rythu Congress Party,lost,101171,( -30267),andraprdesh
Vinukonda(99),CHENNA SRINIVASA RAO,Indian National Congress,lost,1902,( -129536),andraprdesh
Vinukonda(99),MASIPOGU YESOBU,Bahujan Samaj Party,lost,1243,( -130195),andraprdesh
Vinukonda(99),SRINIVASA RAO NARALASETTY,Independent,lost,335,( -131103),andraprdesh
Vinukonda(99),RAMANA GADDAM,Pyramid Party of India,lost,226,( -131212),andraprdesh
Vinukonda(99),SHAIK BAJI,Independent,lost,177,( -131261),andraprdesh
Vinukonda(99),SRINIVASARAO JADDA,Independent,lost,141,( -131297),andraprdesh
Vinukonda(99),KUKATLAPALLI PRASAD,Jaathia Chethi Vruthula Ikya Vedika Party,lost,126,( -131312),andraprdesh
Vinukonda(99),CHIRANJEEVI NAIK,Jai Bharat National Party,lost,68,( -131370),andraprdesh
Vinukonda(99),MOLAKA SEETARAM,Independent,lost,59,( -131379),andraprdesh
Vinukonda(99),BATCHU VENKATA RAVI KUMAR,Independent,lost,44,( -131394),andraprdesh
Vinukonda(99),BOLLA VEERANJANEYULU,Independent,lost,42,( -131396),andraprdesh
Vinukonda(99),USTALA CHINA KASAIAH,Independent,lost,31,( -131407),andraprdesh
Vinukonda(99),NOTA,None of the Above,,1694,( -129744),andraprdesh
Gurajala(100),YARAPATHINENI SRINIVASA RAO,Telugu Desam,won,128201,(+ 29486),andraprdesh
Gurajala(100),KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,lost,98715,( -29486),andraprdesh
Gurajala(100),YALAMANDA REDDY TIYYAGURA,Indian National Congress,lost,2156,( -126045),andraprdesh
Gurajala(100),NAGENDLA YOBU,Bahujan Samaj Party,lost,909,( -127292),andraprdesh
Gurajala(100),RAMA RAO KOYA,Independent,lost,232,( -127969),andraprdesh
Gurajala(100),KANAKAM.SRINIVASARAO,National Nava Kranthi Party,lost,159,( -128042),andraprdesh
Gurajala(100),SRINIVASARAO NEERUMALLA,Akhil Bharatiya Jan Sangh,lost,157,( -128044),andraprdesh
Gurajala(100),BADAM VENKATESWARA REDDY,Independent,lost,146,( -128055),andraprdesh
Gurajala(100),JULURI RAMESH,Jaibhim Rao Bharat Party,lost,120,( -128081),andraprdesh
Gurajala(100),SRINIVASARAO GADDAM,Andhra Rastra Praja Samithi,lost,93,( -128108),andraprdesh
Gurajala(100),GANGAVARAPU MALLAMMA,Independent,lost,92,( -128109),andraprdesh
Gurajala(100),KOPPARAPU VENKATA PURUSHOTHAMARAO,Independent,lost,91,( -128110),andraprdesh
Gurajala(100),CHEDILA NAGARJUNA,Independent,lost,87,( -128114),andraprdesh
Gurajala(100),NOTA,None of the Above,,1888,( -126313),andraprdesh
Macherla(101),JULAKANTI BRAHMANANDA REDDY,Telugu Desam,won,122413,(+ 33318),andraprdesh
Macherla(101),RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,lost,89095,( -33318),andraprdesh
Macherla(101),GUNDALA SAIDULU,Bahujan Samaj Party,lost,2427,( -119986),andraprdesh
Macherla(101),RAMACHANDRAREDDY YARAMALA,Indian National Congress,lost,2237,( -120176),andraprdesh
Macherla(101),VRS SATYANARAYANA CHARI MAROJU,Independent,lost,528,( -121885),andraprdesh
Macherla(101),BATCHU. VENKATESWARLU,Pyramid Party of India,lost,329,( -122084),andraprdesh
Macherla(101),SHAIK MABU JANI,Independent,lost,286,( -122127),andraprdesh
Macherla(101),NAVULURI SHIVA REDDY,Jai Bharat National Party,lost,214,( -122199),andraprdesh
Macherla(101),GOLLA SRINIVASARAO,Independent,lost,172,( -122241),andraprdesh
Macherla(101),PRASAD SURA,Independent,lost,148,( -122265),andraprdesh
Macherla(101),DEGALA SAIDARAJU,Independent,lost,135,( -122278),andraprdesh
Macherla(101),YENUMULA  KESAVA REDDY,Telugu Rajadhikara Samiti Party,lost,105,( -122308),andraprdesh
Macherla(101),KUNDURU VEERANJANEYAREDDY,Independent,lost,101,( -122312),andraprdesh
Macherla(101),GUMMADI. KOTESWARARAO YADAV,Independent,lost,85,( -122328),andraprdesh
Macherla(101),KOTRA RAJESH,Independent,lost,78,( -122335),andraprdesh
Macherla(101),NOTA,None of the Above,,1746,( -120667),andraprdesh
Parchur(104),YELURI SAMBASIVA RAO,Telugu Desam,won,110575,(+ 24013),andraprdesh
Parchur(104),YADAM BALAJI,Yuvajana Sramika Rythu Congress Party,lost,86562,( -24013),andraprdesh
Parchur(104),NALLAGORLA SIVA SRILAKSHMI JYOTHI,Indian National Congress,lost,2293,( -108282),andraprdesh
Parchur(104),BACHINA RAMBABU,Jateeya Sama Samajam Party,lost,427,( -110148),andraprdesh
Parchur(104),VENKATRATNAM THAMMULURI,Bahujan Samaj Party,lost,403,( -110172),andraprdesh
Parchur(104),P. SRINIVASA RAO,Independent,lost,267,( -110308),andraprdesh
Parchur(104),SHAIK KHASIM SAIDA,Independent,lost,128,( -110447),andraprdesh
Parchur(104),CHIMATA HANUMANTHARAO,Independent,lost,78,( -110497),andraprdesh
Parchur(104),BENDAPUDI LOKESHWARA SARMA,Pyramid Party of India,lost,60,( -110515),andraprdesh
Parchur(104),YERIJARLA VIDYUL KUMAR,Radical Party of India (Ambedkarist),lost,59,( -110516),andraprdesh
Parchur(104),CHIMPIRAIAH GALI,Independent,lost,40,( -110535),andraprdesh
Parchur(104),GERA RAVINDRANADH TAGORE,Independent,lost,27,( -110548),andraprdesh
Parchur(104),ALOKAM RAMESH BABU,Independent,lost,23,( -110552),andraprdesh
Parchur(104),GOVINDU KONDURI,Independent,lost,23,( -110552),andraprdesh
Parchur(104),KORAMBANDI SURESH BABU,Independent,lost,20,( -110555),andraprdesh
Parchur(104),NOTA,None of the Above,,1289,( -109286),andraprdesh
Addanki(105),GOTTIPATI  RAVI KUMAR,Telugu Desam,won,116418,(+ 24890),andraprdesh
Addanki(105),CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,lost,91528,( -24890),andraprdesh
Addanki(105),KISHORE BABU ADUSUMALLI,Indian National Congress,lost,4072,( -112346),andraprdesh
Addanki(105),JOSEPH MANDA,Bahujan Samaj Party,lost,448,( -115970),andraprdesh
Addanki(105),RAMBABU BACHINA,Jateeya Sama Samajam Party,lost,448,( -115970),andraprdesh
Addanki(105),MANDA SRINIVASA RAO,Independent,lost,251,( -116167),andraprdesh
Addanki(105),VENKATA CHARI GOLLAPATI,Independent,lost,182,( -116236),andraprdesh
Addanki(105),PULIPATI  HEBELU,Jaibhim Rao Bharat Party,lost,114,( -116304),andraprdesh
Addanki(105),MEESALA SAMRAJYAM,Bharatha Chaitanya Yuvajana Party,lost,110,( -116308),andraprdesh
Addanki(105),KANDULA YAKOBU,Liberation Congress Party,lost,83,( -116335),andraprdesh
Addanki(105),PRABHUDASU SURABHI,Independent,lost,69,( -116349),andraprdesh
Addanki(105),DUPATI YESOBU,Independent,lost,56,( -116362),andraprdesh
Addanki(105),GUMMA SADASIVARAO,Pyramid Party of India,lost,51,( -116367),andraprdesh
Addanki(105),GUNTUPALLI GOPI,Navodayam Party,lost,49,( -116369),andraprdesh
Addanki(105),ATLA CHINA VENKATA REDDY,Independent,lost,39,( -116379),andraprdesh
Addanki(105),NOTA,None of the Above,,1600,( -114818),andraprdesh
Chirala(106),MADDULURI MALA KONDAIAH,Telugu Desam,won,72700,(+ 20984),andraprdesh
Chirala(106),KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,lost,51716,( -20984),andraprdesh
Chirala(106),AMANCHI KRISHNA MOHAN,Indian National Congress,lost,41859,( -30841),andraprdesh
Chirala(106),KATI MARK,Bahujan Samaj Party,lost,1039,( -71661),andraprdesh
Chirala(106),SRINIVASA RAO POLISETTY,Independent,lost,738,( -71962),andraprdesh
Chirala(106),ABDUL BASHEER SHAIK,Indian Union Muslim League,lost,212,( -72488),andraprdesh
Chirala(106),ANKAMMA GANDHI LAGADAPATI,Pyramid Party of India,lost,154,( -72546),andraprdesh
Chirala(106),THANNEERU VIJAY,Reforms Party of India,lost,126,( -72574),andraprdesh
Chirala(106),RAVINDRA BABU PAVULURI,Independent,lost,113,( -72587),andraprdesh
Chirala(106),ASADI ANJANEYULU,Independent,lost,110,( -72590),andraprdesh
Chirala(106),PINJALA SANTHARAM,Independent,lost,98,( -72602),andraprdesh
Chirala(106),RAVI KUMAR SEELAM,Liberation Congress Party,lost,63,( -72637),andraprdesh
Chirala(106),VENKATESWARLU SEELAM,Jaathia Chethi Vruthula Ikya Vedika Party,lost,53,( -72647),andraprdesh
Chirala(106),TELLA RAMBABU,Independent,lost,52,( -72648),andraprdesh
Chirala(106),PATTAN KALESHA,Independent,lost,40,( -72660),andraprdesh
Chirala(106),NOTA,None of the Above,,1255,( -71445),andraprdesh
Santhanuthalapadu (SC)(107),VIJAY KUMAR B.N,Telugu Desam,won,105757,(+ 30385),andraprdesh
Santhanuthalapadu (SC)(107),NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party,lost,75372,( -30385),andraprdesh
Santhanuthalapadu (SC)(107),KAILA VENKATARAO,Bahujan Samaj Party,lost,3230,( -102527),andraprdesh
Santhanuthalapadu (SC)(107),PALAPARTHI VIJESH RAJ,Indian National Congress,lost,2715,( -103042),andraprdesh
Santhanuthalapadu (SC)(107),ESTHARLA SANKARAIAH,Liberation Congress Party,lost,244,( -105513),andraprdesh
Santhanuthalapadu (SC)(107),VADDIMUKKALA RAVEENDRABABU,Independent,lost,180,( -105577),andraprdesh
Santhanuthalapadu (SC)(107),GATTUPALLI GOPALA RAO,Independent,lost,140,( -105617),andraprdesh
Santhanuthalapadu (SC)(107),MANDA SARATH BABU,Independent,lost,132,( -105625),andraprdesh
Santhanuthalapadu (SC)(107),KATUKURI DAVID,Jaibhim Rao Bharat Party,lost,111,( -105646),andraprdesh
Santhanuthalapadu (SC)(107),PANTHAGANI VIJAYABABU,Jatiya Jana Sena Party,lost,80,( -105677),andraprdesh
Santhanuthalapadu (SC)(107),TALLURI NAGARAJU,Pyramid Party of India,lost,64,( -105693),andraprdesh
Santhanuthalapadu (SC)(107),CHAVABATHINA RAMBABU,Radical Party of India (Ambedkarist),lost,60,( -105697),andraprdesh
Santhanuthalapadu (SC)(107),KOTI RAVIKUMAR,Independent,lost,55,( -105702),andraprdesh
Santhanuthalapadu (SC)(107),KATTI RATNAKUMARI,Independent,lost,51,( -105706),andraprdesh
Santhanuthalapadu (SC)(107),NOTA,None of the Above,,1725,( -104032),andraprdesh
Ongole(108),DAMACHARLA JANARDHANA RAO,Telugu Desam,won,118800,(+ 34026),andraprdesh
Ongole(108),BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,lost,84774,( -34026),andraprdesh
Ongole(108),TURAKAPALLI NAGALAKSHMI,Indian National Congress,lost,2067,( -116733),andraprdesh
Ongole(108),MANNAM.SUDHEER KUMAR,Independent,lost,285,( -118515),andraprdesh
Ongole(108),THATIPARTHI.VENKATA SWAMY,Bahujan Samaj Party,lost,274,( -118526),andraprdesh
Ongole(108),KOLA SATISH,Navarang Congress Party,lost,226,( -118574),andraprdesh
Ongole(108),PATAPATI SRINIVASARAO,Independent,lost,223,( -118577),andraprdesh
Ongole(108),THELLA.KIRAN KUMAR,Independent,lost,168,( -118632),andraprdesh
Ongole(108),DASARI SUNDARAM,Independent,lost,126,( -118674),andraprdesh
Ongole(108),PATAPANJULA SRINU,Independent,lost,120,( -118680),andraprdesh
Ongole(108),ASODHI SANKAR REDDY,Independent,lost,89,( -118711),andraprdesh
Ongole(108),BRAHMA NAIDU BILLA,Radical Party of India (Ambedkarist),lost,75,( -118725),andraprdesh
Ongole(108),A.YOGANAND,Pyramid Party of India,lost,72,( -118728),andraprdesh
Ongole(108),MANDAPALLI VENKATESWARLU,Independent,lost,67,( -118733),andraprdesh
Ongole(108),SHAIK MUNTHAJ,Independent,lost,67,( -118733),andraprdesh
Ongole(108),CHAPPIDI.RAVI BABU,Independent,lost,64,( -118736),andraprdesh
Ongole(108),VALLAMREDDY.RAJAGOPALA REDDY,Jai Bharat National Party,lost,63,( -118737),andraprdesh
Ongole(108),MITNASALA CHAITANYA PRASADU,Liberation Congress Party,lost,60,( -118740),andraprdesh
Ongole(108),HUSSAIN BEE.SHAIK,Independent,lost,54,( -118746),andraprdesh
Ongole(108),TIRUPATISWAMI,Independent,lost,51,( -118749),andraprdesh
Ongole(108),ANITHA PALETI,Independent,lost,49,( -118751),andraprdesh
Ongole(108),SUNKARA.KALYANI,Independent,lost,49,( -118751),andraprdesh
Ongole(108),AKKARAJU NIRMAL,Independent,lost,47,( -118753),andraprdesh
Ongole(108),VAJRALA.MAHESWAR REDDY,Independent,lost,47,( -118753),andraprdesh
Ongole(108),ALA.NARAYANA RAO,Independent,lost,39,( -118761),andraprdesh
Ongole(108),VENKATA RAO KOLLA,Independent,lost,37,( -118763),andraprdesh
Ongole(108),NOTA,None of the Above,,1310,( -117490),andraprdesh
Kandukur(109),INTURI NAGESWARA RAO,Telugu Desam,won,109173,(+ 18558),andraprdesh
Kandukur(109),MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,lost,90615,( -18558),andraprdesh
Kandukur(109),GOUSE MOHIDDIN SYED,Indian National Congress,lost,2300,( -106873),andraprdesh
Kandukur(109),SATYANARAYANA PERAM,Bahujan Samaj Party,lost,868,( -108305),andraprdesh
Kandukur(109),NETHI MAHESWARA RAO,Independent,lost,493,( -108680),andraprdesh
Kandukur(109),MUCHU SRINIVASULU,Independent,lost,436,( -108737),andraprdesh
Kandukur(109),TATIKONDA RAMBABU,Independent,lost,374,( -108799),andraprdesh
Kandukur(109),PODAPATI HARIBABU,Independent,lost,235,( -108938),andraprdesh
Kandukur(109),CHERUKURI JASHUVA,Independent,lost,167,( -109006),andraprdesh
Kandukur(109),CHALLA VENKATA MURALI KRISHNA,Independent,lost,123,( -109050),andraprdesh
Kandukur(109),RATHIKRINDI VENU,Independent,lost,119,( -109054),andraprdesh
Kandukur(109),YENDLURI BALAKUMAR,Radical Party of India (Ambedkarist),lost,109,( -109064),andraprdesh
Kandukur(109),PODAPATI SIVA KUMAR,Jai Bharat National Party,lost,102,( -109071),andraprdesh
Kandukur(109),CHENNIBOINA NARASIMHAM,Independent,lost,98,( -109075),andraprdesh
Kandukur(109),CHEKURI VENKATA KRISHNA RAO,Pyramid Party of India,lost,77,( -109096),andraprdesh
Kandukur(109),GODUGU MALYADRI,Independent,lost,73,( -109100),andraprdesh
Kandukur(109),SYED NASEEMA,Independent,lost,73,( -109100),andraprdesh
Kandukur(109),SANGA SATYANARAYANA,Independent,lost,73,( -109100),andraprdesh
Kandukur(109),GOLI PADMAJA,Liberation Congress Party,lost,68,( -109105),andraprdesh
Kandukur(109),AKKILAGUNTA ESHAK,Independent,lost,65,( -109108),andraprdesh
Kandukur(109),UNNAM RADHAMMA,Independent,lost,60,( -109113),andraprdesh
Kandukur(109),JAGANADHAM SRINU,Neethi Nijayithi Party,lost,47,( -109126),andraprdesh
Kandukur(109),NOTA,None of the Above,,1025,( -108148),andraprdesh
Kondapi (SC)(110),DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,won,116674,(+ 24756),andraprdesh
Kondapi (SC)(110),AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,lost,91918,( -24756),andraprdesh
Kondapi (SC)(110),SUDHAKARA RAO PASUMARTHI,Indian National Congress,lost,1666,( -115008),andraprdesh
Kondapi (SC)(110),RAVINUTALA MATRIKA,Bahujan Samaj Party,lost,728,( -115946),andraprdesh
Kondapi (SC)(110),SUJATHA VIGHNAM,Independent,lost,249,( -116425),andraprdesh
Kondapi (SC)(110),KONDALA RAO AMBATI,Viduthalai Chiruthaigal Katchi,lost,190,( -116484),andraprdesh
Kondapi (SC)(110),MAMIDI MAALYADRI,Independent,lost,127,( -116547),andraprdesh
Kondapi (SC)(110),JAMULLAMUDI POLAIAH,Independent,lost,124,( -116550),andraprdesh
Kondapi (SC)(110),RAVURI LAKSMANARAO,Radical Party of India (Ambedkarist),lost,115,( -116559),andraprdesh
Kondapi (SC)(110),SRINIVASARAO BODDU,Independent,lost,112,( -116562),andraprdesh
Kondapi (SC)(110),SRIKANTH CHOPPARA,Navarang Congress Party,lost,109,( -116565),andraprdesh
Kondapi (SC)(110),KANDIPATI VENKATA KRISHNA RAO,Jaibhim Rao Bharat Party,lost,104,( -116570),andraprdesh
Kondapi (SC)(110),MENDA BALAKOTAIAH,Pyramid Party of India,lost,91,( -116583),andraprdesh
Kondapi (SC)(110),KANAPARTHI SIVARAM,Liberation Congress Party,lost,70,( -116604),andraprdesh
Kondapi (SC)(110),VANGEPURAM KASIRAJU,Samajwadi Party,lost,55,( -116619),andraprdesh
Kondapi (SC)(110),NOTA,None of the Above,,1612,( -115062),andraprdesh
Markapuram(111),KANDULA NARAYANA REDDY,Telugu Desam,won,99005,(+ 13979),andraprdesh
Markapuram(111),ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,lost,85026,( -13979),andraprdesh
Markapuram(111),SYED JAVEED ANWAR,Indian National Congress,lost,2088,( -96917),andraprdesh
Markapuram(111),DEVIREDDY HANUMAREDDY,Independent,lost,436,( -98569),andraprdesh
Markapuram(111),THAVANAM MAHESWARA REDDY,Independent,lost,414,( -98591),andraprdesh
Markapuram(111),GAYAM VENKATA REDDY,Independent,lost,347,( -98658),andraprdesh
Markapuram(111),PATHAN SUBHANI,Independent,lost,333,( -98672),andraprdesh
Markapuram(111),NAGARJUNA REDDY YERUVA,Independent,lost,307,( -98698),andraprdesh
Markapuram(111),CHATARAJUPALLI CHANDRASEKHAR,Jaibhim Rao Bharat Party,lost,285,( -98720),andraprdesh
Markapuram(111),POTTI VENKATA SUBBA RAO,Independent,lost,143,( -98862),andraprdesh
Markapuram(111),DONDAPATI SRINIVASA REDDY,Independent,lost,134,( -98871),andraprdesh
Markapuram(111),KOTTAPULI BRAHMAREDDY,Independent,lost,128,( -98877),andraprdesh
Markapuram(111),YUDDAM NARASIMHARAO,Independent,lost,122,( -98883),andraprdesh
Markapuram(111),KUNDURU VISHNUVARDHAN REDDY,Independent,lost,88,( -98917),andraprdesh
Markapuram(111),U. NARAYANA REDDY S/O BALIREDDY,Navarang Congress Party,lost,88,( -98917),andraprdesh
Markapuram(111),NUTALAPATI RAJU,Viduthalai Chiruthaigal Katchi,lost,83,( -98922),andraprdesh
Markapuram(111),SYED ISMAIL,Indian Union Muslim League,lost,77,( -98928),andraprdesh
Markapuram(111),KANUBUDDI RAMGOPAL REDDY,Independent,lost,72,( -98933),andraprdesh
Markapuram(111),KUKUTLAPALLI ABBANNA,Independent,lost,69,( -98936),andraprdesh
Markapuram(111),RAVILLA BHAGYALAKSHMI,Bharatha Chaitanya Yuvajana Party,lost,67,( -98938),andraprdesh
Markapuram(111),NARAYANA REDDY S/O VENKATA NARAYANA REDDY,Jatiya Jana Sena Party,lost,66,( -98939),andraprdesh
Markapuram(111),KANDI NARAYANA REDDY,Independent,lost,56,( -98949),andraprdesh
Markapuram(111),ABDUL RAWOOF,Independent,lost,41,( -98964),andraprdesh
Markapuram(111),IRRE BALA MADDILETI,Independent,lost,39,( -98966),andraprdesh
Markapuram(111),BARIGE BALAIAH,Independent,lost,32,( -98973),andraprdesh
Markapuram(111),BHAVANAM VENKATESWARA REDDY,Independent,lost,32,( -98973),andraprdesh
Markapuram(111),P. BHANU PRASAD,Independent,lost,25,( -98980),andraprdesh
Markapuram(111),NOTA,None of the Above,,1327,( -97678),andraprdesh
Giddalur(112),ASHOK REDDY MUTHUMULA,Telugu Desam,won,98463,(+ 973),andraprdesh
Giddalur(112),KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,lost,97490,( -973),andraprdesh
Giddalur(112),PAGADALA PEDDA RANGASWAMI,Indian National Congress,lost,2879,( -95584),andraprdesh
Giddalur(112),ISUKALA JAYARAJU,Bahujan Samaj Party,lost,1487,( -96976),andraprdesh
Giddalur(112),MEENIGE MURALI MOHAN REDDY,Independent,lost,611,( -97852),andraprdesh
Giddalur(112),PARISINENI VENKATESWARLU,Independent,lost,577,( -97886),andraprdesh
Giddalur(112),BORRA RAGHAVENDRA YADAV,Independent,lost,510,( -97953),andraprdesh
Giddalur(112),M.LAKSHMI RAMA NAIK,Independent,lost,369,( -98094),andraprdesh
Giddalur(112),JAVVAJI PAVAN KUMAR,Pyramid Party of India,lost,341,( -98122),andraprdesh
Giddalur(112),MUDIAM VENKATA RAMI REDDY,Independent,lost,263,( -98200),andraprdesh
Giddalur(112),CHINTA SHAMSON,Telugu Rajadhikara Samiti Party,lost,241,( -98222),andraprdesh
Giddalur(112),BALASANI MALYADRI REDDY,Independent,lost,178,( -98285),andraprdesh
Giddalur(112),BATTAPOTHULA OBULESU,Independent,lost,168,( -98295),andraprdesh
Giddalur(112),DASARI BABU RAO,Jaibhim Rao Bharat Party,lost,160,( -98303),andraprdesh
Giddalur(112),BONTHA RANGA REDDY,Independent,lost,150,( -98313),andraprdesh
Giddalur(112),VARIKUNTLA PRASAD,Independent,lost,150,( -98313),andraprdesh
Giddalur(112),VEERAMREDDY USHA RANI,Independent,lost,140,( -98323),andraprdesh
Giddalur(112),JANAVATH TAGORE NAIK,Liberation Congress Party,lost,130,( -98333),andraprdesh
Giddalur(112),KOPPULA NARASIMHULU,Independent,lost,121,( -98342),andraprdesh
Giddalur(112),PIDATALA RAMESH  REDDY,Independent,lost,113,( -98350),andraprdesh
Giddalur(112),THAMIDALA KOTESWARA REDDY,Independent,lost,77,( -98386),andraprdesh
Giddalur(112),NOTA,None of the Above,,2251,( -96212),andraprdesh
Kanigiri(113),DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,won,107045,(+ 14604),andraprdesh
Kanigiri(113),DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,lost,92441,( -14604),andraprdesh
Kanigiri(113),DEVARAPALLI SUBBA REDDY,Indian National Congress,lost,1838,( -105207),andraprdesh
Kanigiri(113),THATHAPUDI PRABHUDAS,Bahujan Samaj Party,lost,1317,( -105728),andraprdesh
Kanigiri(113),SHAMSHIRA BHASHA MUPARLAPATI,Independent,lost,262,( -106783),andraprdesh
Kanigiri(113),PANDITI ALLURAIAH,Pyramid Party of India,lost,230,( -106815),andraprdesh
Kanigiri(113),SHAIK SUBHAHAN,Independent,lost,170,( -106875),andraprdesh
Kanigiri(113),ALLABAKSH SHAIK,Indian Union Muslim League,lost,157,( -106888),andraprdesh
Kanigiri(113),SHAIK NAZIR BASHA,Samajwadi Party,lost,124,( -106921),andraprdesh
Kanigiri(113),K KURSHEED,Independent,lost,121,( -106924),andraprdesh
Kanigiri(113),DAMMU VENKATESH,Liberation Congress Party,lost,120,( -106925),andraprdesh
Kanigiri(113),SHAIK MASTAN VALI,Independent,lost,105,( -106940),andraprdesh
Kanigiri(113),NOTA,None of the Above,,2217,( -104828),andraprdesh
Kavali(114),DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,won,106536,(+ 30948),andraprdesh
