Party,Won,Total,Parliamentary Constituency,Candidate Name,candidateParty,Status,Votes,Margin
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),YUVRAJ GAVADE,Independent,lost,2215,( -809932)
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),JYOTI SURESH JHARIYA,Independent,lost,2046,( -810101)
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),MAKHAN SINGH LODHI,Bhartiya Shakti Chetna Party,lost,1657,( -810490)
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),MUKESH YADAV,Independent,lost,1588,( -810559)
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),PANDIT BRAJESH KHEMARIYA,Independent,lost,1260,( -810887)
Bharatiya Janata Party - BJP,240,240,HOSHANGABAD(17),NOTA,None of the Above,,14941,( -797206)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,won,1116460,(+ 821408)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),PRATAPBHANU SHARMA,Indian National Congress,lost,295052,( -821408)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),KISHAN LAL LADIYA,Bahujan Samaj Party,lost,10816,( -1105644)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),KAMLESH KUMAR GOUR,Jai Prakash Janata Dal,lost,8178,( -1108282)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),DHOOLSINGH DHAMMA,Independent,lost,3424,( -1113036)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),SATYENDRA SINGH SISODIYA,Independent,lost,2925,( -1113535)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),DHARMVIR BHARTI,Akhil Bhartiya Parivar Party,lost,2819,( -1113641)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),ABDUL RASHID,Independent,lost,1682,( -1114778)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),BHAI MUNSHILAL SILAWAT,Public Political Party,lost,1117,( -1115343)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),ABDUL JABBAR,Independent,lost,1082,( -1115378)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),SEEMA SHARMA,Sapaks Party,lost,1073,( -1115387)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party,lost,1026,( -1115434)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,lost,724,( -1115736)
Bharatiya Janata Party - BJP,240,240,VIDISHA(18),NOTA,None of the Above,,9280,( -1107180)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),ALOK SHARMA,Bharatiya Janata Party,won,981109,(+ 501499)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,lost,479610,( -501499)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),BHANU PRATAP SINGH,Bahujan Samaj Party,lost,13305,( -967804)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,lost,3641,( -977468)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),JAY SINGH,Independent,lost,2510,( -978599)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),BHARTI YADAV,Independent,lost,1839,( -979270)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),ANKIT RAI,Independent,lost,1101,( -980008)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party,lost,790,( -980319)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),DHANRAJ SHENDE,Republican Party of India (A),lost,790,( -980319)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),MOHAMMAD ASHRAF,Independent,lost,778,( -980331)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),BABULAL SEN,Moulik Adhikar Party,lost,720,( -980389)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),SANJAY KUMAR SAROJ,Manav Samadhan Party,lost,622,( -980487)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party,lost,588,( -980521)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),RAMPRASAD PATEL,Kranti Janshakti Party,lost,575,( -980534)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party,lost,544,( -980565)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST),lost,540,( -980569)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),R.K. MAHAJAN,Independent,lost,529,( -980580)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,lost,473,( -980636)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),MAITHILI SHARAN GUPTA,Independent,lost,448,( -980661)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),RAJESH KEER,Independent,lost,427,( -980682)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),AKSHAY GOTHI,Parivartan Party of India,lost,407,( -980702)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),HITENDRA SHAHARE (BABA),Independent,lost,318,( -980791)
Bharatiya Janata Party - BJP,240,240,BHOPAL(19),NOTA,None of the Above,,6621,( -974488)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),RODMAL NAGAR,Bharatiya Janata Party,won,758743,(+ 146089)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),DIGVIJAYA SINGH,Indian National Congress,lost,612654,( -146089)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),DR. RAJENDRA SURYAVANSHI,Bahujan Samaj Party,lost,13942,( -744801)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),ASHOK PAWAR,Samata Samadhan Party,lost,6614,( -752129)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),JITENDRA SINGH,National World Leader Party,lost,5063,( -753680)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),DINESH RAZAWAT,Aazad Samaj Party (Kanshi Ram),lost,4179,( -754564)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),RODMAL,Independent,lost,3744,( -754999)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),ANIL JAIN,Independent,lost,3089,( -755654)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),RADHESHYAM MALVIYA,Independent,lost,2799,( -755944)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),SUNEEL BHEEL,Independent,lost,2713,( -756030)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),VISHAL SONI (ADVOCATE),Bharatiya Yuva Jan Ekta Party,lost,2560,( -756183)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),JAGDISH KARPENTER,Independent,lost,1734,( -757009)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),ANIL,Independent,lost,1418,( -757325)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),RAMCHARAN PIRJAPATI,Lok Samaj Party,lost,1294,( -757449)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),BABU SINGH,Sajag Samaj Party,lost,1191,( -757552)
Bharatiya Janata Party - BJP,240,240,RAJGARH(20),NOTA,None of the Above,,7260,( -751483)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,won,928941,(+ 425225)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,lost,503716,( -425225)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),RAJENDRASINGH CHOKHUTIYA,Bahujan Samaj Party,lost,11203,( -917738)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),RAMPRASAD,Aazad Samaj Party (Kanshi Ram),lost,7220,( -921721)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),NITIN VERMA,Independent,lost,2761,( -926180)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),ADVOCATE VIDAYARAJ MALAVIY,Social Democratic Party Of India,lost,2031,( -926910)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),ENG. DEEPAK RAMESH CHANDRA VICHITRA,Independent,lost,1595,( -927346)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),HEMRAJ POONAMCHANDRA BAMNIYA,Public Political Party,lost,1248,( -927693)
Bharatiya Janata Party - BJP,240,240,DEWAS(21),NOTA,None of the Above,,10389,( -918552)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),ANIL FIROJIYA,Bharatiya Janata Party,won,836104,(+ 375860)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),MAHESH PARMAR,Indian National Congress,lost,460244,( -375860)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),ADVOCATE PRAKASH CHOUHAN,Bahujan Samaj Party,lost,9518,( -826586)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),DR. HEMANT PARMAR,Bhim Sena,lost,4976,( -831128)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),SURESH BAGARI,Independent,lost,2791,( -833313)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),MAHESH PARMAR,Independent,lost,2476,( -833628)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),GANGA MALVIYA,Independent,lost,1295,( -834809)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),ANIL,Independent,lost,981,( -835123)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),ISHWARLAL VARSHI,Independent,lost,863,( -835241)
Bharatiya Janata Party - BJP,240,240,UJJAIN(22),NOTA,None of the Above,,9332,( -826772)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),SUDHEER GUPTA,Bharatiya Janata Party,won,945761,(+ 500655)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),DILIP SINGH GURJAR,Indian National Congress,lost,445106,( -500655)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),KANHAIYALAL MALVIYA,Bahujan Samaj Party,lost,10512,( -935249)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),ISMAIL KHAN MAIV,Independent,lost,8826,( -936935)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),SUSHIL,Independent,lost,3439,( -942322)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),SAEED AHAMAD,Independent,lost,3167,( -942594)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),MURALIDHAR,Independent,lost,2696,( -943065)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),VIJAY RANN,Independent,lost,2323,( -943438)
Bharatiya Janata Party - BJP,240,240,MANDSOUR(23),NOTA,None of the Above,,11662,( -934099)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,won,795863,(+ 207232)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),KANTILAL BHURIA,Indian National Congress,lost,588631,( -207232)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,lost,52759,( -743104)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),RAMCHANDRA SOLANKI,Bahujan Samaj Party,lost,15172,( -780691)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),SURAJ BHABHAR,Independent,lost,10062,( -785801)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),RANGLA KALESH,Independent,lost,7335,( -788528)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),KASNA RANA PARGI,Independent,lost,7316,( -788547)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),SUMITRA MEDA,Independent,lost,6930,( -788933)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),RAMESHWAR SINGAR,Independent,lost,4607,( -791256)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),MOHANSINGH NINGWAL,Bhartiya Samajik Party,lost,4507,( -791356)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),SHEETAL BARELA,Akhand Bharat Samrajya Party,lost,3930,( -791933)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),UDESINGH MACHAR,Republican Party of India (A),lost,3796,( -792067)
Bharatiya Janata Party - BJP,240,240,RATLAM(24),NOTA,None of the Above,,31735,( -764128)
Bharatiya Janata Party - BJP,240,240,DHAR(25),SAVITRI THAKUR,Bharatiya Janata Party,won,794449,(+ 218665)
Bharatiya Janata Party - BJP,240,240,DHAR(25),RADHESHYAM MUVEL,Indian National Congress,lost,575784,( -218665)
Bharatiya Janata Party - BJP,240,240,DHAR(25),DHUMSINGH MANDLOI MACHHAR,Bahujan Samaj Party,lost,14956,( -779493)
Bharatiya Janata Party - BJP,240,240,DHAR(25),JITENDRA MUNIYA,Bharat Adivasi Party,lost,10621,( -783828)
Bharatiya Janata Party - BJP,240,240,DHAR(25),SUNIL AJRAWAT,Independent,lost,5408,( -789041)
Bharatiya Janata Party - BJP,240,240,DHAR(25),SHIVAJI PATEL KALMI,Independent,lost,4700,( -789749)
Bharatiya Janata Party - BJP,240,240,DHAR(25),VIKRAM VASUNIYA,Janata Congress,lost,3475,( -790974)
Bharatiya Janata Party - BJP,240,240,DHAR(25),NOTA,None of the Above,,15651,( -778798)
Bharatiya Janata Party - BJP,240,240,INDORE(26),SHANKAR LALWANI,Bharatiya Janata Party,won,1226751,(+ 1008077)
Bharatiya Janata Party - BJP,240,240,INDORE(26),SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,lost,51659,( -1175092)
Bharatiya Janata Party - BJP,240,240,INDORE(26),PAWAN KUMAR,Akhil Bhartiya Parivar Party,lost,15210,( -1211541)
Bharatiya Janata Party - BJP,240,240,INDORE(26),ABHAY JAIN,Independent,lost,8392,( -1218359)
Bharatiya Janata Party - BJP,240,240,INDORE(26),LAVISH DILIP KHANDELWAL,Independent,lost,8238,( -1218513)
Bharatiya Janata Party - BJP,240,240,INDORE(26),COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST),lost,7179,( -1219572)
Bharatiya Janata Party - BJP,240,240,INDORE(26),AYAZ ALI,Independent,lost,7096,( -1219655)
Bharatiya Janata Party - BJP,240,240,INDORE(26),ENG. ARJUN PARIHAR,Independent,lost,3831,( -1222920)
Bharatiya Janata Party - BJP,240,240,INDORE(26),BASANT GEHLOT,Jan Sangh Party,lost,3676,( -1223075)
Bharatiya Janata Party - BJP,240,240,INDORE(26),RAVI SIRWAIYA,Independent,lost,2621,( -1224130)
Bharatiya Janata Party - BJP,240,240,INDORE(26),MUDIT CHAURASIA,Independent,lost,2609,( -1224142)
Bharatiya Janata Party - BJP,240,240,INDORE(26),PARMANAND TOLANI,Independent,lost,2403,( -1224348)
Bharatiya Janata Party - BJP,240,240,INDORE(26),DESH BHAKT ANKIT GUPTA,Independent,lost,1969,( -1224782)
Bharatiya Janata Party - BJP,240,240,INDORE(26),ADVOCATE PANKAJ GUPTE,Independent,lost,1660,( -1225091)
Bharatiya Janata Party - BJP,240,240,INDORE(26),NOTA,None of the Above,,218674,( -1008077)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),GAJENDRA SINGH PATEL,Bharatiya Janata Party,won,819863,(+ 135018)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),PORLAL BATHA KHARTE,Indian National Congress,lost,684845,( -135018)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),DEVISINGH NARGAVE,Communist Party of India,lost,14686,( -805177)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),SHOBHARAM DAWAR,Bahujan Samaj Party,lost,12069,( -807794)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),NARSINGH SOLANKI,Independent,lost,9058,( -810805)
Bharatiya Janata Party - BJP,240,240,KHARGONE(27),NOTA,None of the Above,,18257,( -801606)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),GYANESHWAR PATIL,Bharatiya Janata Party,won,862679,(+ 269971)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),NARENDRA PATEL,Indian National Congress,lost,592708,( -269971)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party,lost,11818,( -850861)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),ABHINESH SINGH,Rashtriya Jan Awaz Party,lost,9299,( -853380)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),LAXMI NARAYAN KATARE,Independent,lost,4905,( -857774)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent,lost,4347,( -858332)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),MAHESH PAWAR,Peoples Party of India (Democratic),lost,3709,( -858970)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),SHIVAM SEN,Independent,lost,3481,( -859198)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),RAVINDRA SONVANE,Independent,lost,2685,( -859994)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),PRAKASH RATHOR BANJARA,Aam Janta Party (India),lost,2370,( -860309)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party,lost,1702,( -860977)
Bharatiya Janata Party - BJP,240,240,KHANDWA(28),NOTA,None of the Above,,12839,( -849840)
Bharatiya Janata Party - BJP,240,240,BETUL(29),DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,won,848236,(+ 379761)
Bharatiya Janata Party - BJP,240,240,BETUL(29),RAMU TEKAM,Indian National Congress,lost,468475,( -379761)
Bharatiya Janata Party - BJP,240,240,BETUL(29),ARJUN ASHOK BHALAVI,Bahujan Samaj Party,lost,26597,( -821639)
Bharatiya Janata Party - BJP,240,240,BETUL(29),ANIL UIKEY,Bharat Adivasi Party,lost,10576,( -837660)
Bharatiya Janata Party - BJP,240,240,BETUL(29),BHURELAL CHOTELAL BETHEKAR,Independent,lost,7811,( -840425)
Bharatiya Janata Party - BJP,240,240,BETUL(29),BHAGCHARAN WARKADE,Independent,lost,5968,( -842268)
Bharatiya Janata Party - BJP,240,240,BETUL(29),SUNER UIKEY,Gondvana Gantantra Party,lost,4186,( -844050)
Bharatiya Janata Party - BJP,240,240,BETUL(29),BARSKAR SUBHASH KORAKU,Swatantra Kisan Party,lost,3849,( -844387)
Bharatiya Janata Party - BJP,240,240,BETUL(29),NOTA,None of the Above,,20322,( -827914)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),SMITA UDAY WAGH,Bharatiya Janata Party,won,674428,(+ 251594)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),lost,422834,( -251594)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),YUVRAJ JADHAV (SAMBHA AAPPA),Vanchit Bahujan  Aaghadi,lost,21177,( -653251)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),EX-HAVILDAR ISHWAR DAYARAM MORE,Sainik Samaj Party,lost,7548,( -666880)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),VILAS SHANKAR TAYADE,Bahujan Samaj Party,lost,6381,( -668047)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),LALIT (BANTI) SHARMA,Independent,lost,4192,( -670236)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),KARAN PAWAR,Independent,lost,3983,( -670445)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),ADVOCATE VIJAY BABULAL DANEJ,Independent,lost,3404,( -671024)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),MUKESH MULCHAND KOLI,Independent,lost,3370,( -671058)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),MAHENDRA DEVRAM KOLI,Independent,lost,2476,( -671952)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),AHMAD KHAN,Independent,lost,1901,( -672527)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),ABDUL SHAKUR DESHPANDE,Independent,lost,1606,( -672822)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),ADV. NAMDEO PANDURANG KOLI,Independent,lost,1224,( -673204)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),PATIL SANDIP YUVRAJ,Independent,lost,1110,( -673318)
Bharatiya Janata Party - BJP,240,240,Jalgaon(3),NOTA,None of the Above,,13919,( -660509)
Bharatiya Janata Party - BJP,240,240,Raver(4),KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,won,630879,(+ 272183)
Bharatiya Janata Party - BJP,240,240,Raver(4),SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,lost,358696,( -272183)
Bharatiya Janata Party - BJP,240,240,Raver(4),ER. SANJAY PANDIT BRAMHANE,Vanchit Bahujan  Aaghadi,lost,59120,( -571759)
Bharatiya Janata Party - BJP,240,240,Raver(4),EKNATH NAGO SALUNKE,Independent,lost,43982,( -586897)
Bharatiya Janata Party - BJP,240,240,Raver(4),GULAB DAYARAM BHIL,Bharat Adivasi Party,lost,9644,( -621235)
Bharatiya Janata Party - BJP,240,240,Raver(4),MAMTA ALIAS MUMTAJ BHIKARI TADVI,Independent,lost,7884,( -622995)
Bharatiya Janata Party - BJP,240,240,Raver(4),VIJAY RAMKRUSHNA KALE,Bahujan Samaj Party,lost,7577,( -623302)
Bharatiya Janata Party - BJP,240,240,Raver(4),VASANT SHANKAR KOLTE,Independent,lost,6718,( -624161)
Bharatiya Janata Party - BJP,240,240,Raver(4),PRAVIN LAXMAN PATIL,Independent,lost,6092,( -624787)
Bharatiya Janata Party - BJP,240,240,Raver(4),YUVRAJ DEVSING BARELA,Independent,lost,5135,( -625744)
Bharatiya Janata Party - BJP,240,240,Raver(4),ASHOK BABURAO JADHAV,Peoples Party of India (Democratic),lost,4690,( -626189)
Bharatiya Janata Party - BJP,240,240,Raver(4),SHRIRAM SITARAM PATIL,Independent,lost,4269,( -626610)
Bharatiya Janata Party - BJP,240,240,Raver(4),JITENDRA PANDURANG PATIL,Independent,lost,3587,( -627292)
Bharatiya Janata Party - BJP,240,240,Raver(4),SANJAY PRALHAD KANDELKAR,Independent,lost,2961,( -627918)
Bharatiya Janata Party - BJP,240,240,Raver(4),SAGAR PRABHAKAR PATIL,Independent,lost,2935,( -627944)
Bharatiya Janata Party - BJP,240,240,Raver(4),SANJAYKUMAR LAXMAN WANKHEDE,Republican Party of India (Social),lost,2282,( -628597)
Bharatiya Janata Party - BJP,240,240,Raver(4),ANIL PITAMBAR WAGH (SIR),Independent,lost,2278,( -628601)
Bharatiya Janata Party - BJP,240,240,Raver(4),PROF. DR. ASHISH SUBHASH JADHAV,Independent,lost,1927,( -628952)
Bharatiya Janata Party - BJP,240,240,Raver(4),BHIVRAJ RAMDAS RAYSINGE,Independent,lost,1809,( -629070)
Bharatiya Janata Party - BJP,240,240,Raver(4),KOMALBAI BAPURAO PATIL,Independent,lost,1429,( -629450)
Bharatiya Janata Party - BJP,240,240,Raver(4),SHAIKH AABID SHAIKH BASHIR,Independent,lost,1040,( -629839)
Bharatiya Janata Party - BJP,240,240,Raver(4),AMIT HARIBHAU KOLTE,Independent,lost,981,( -629898)
Bharatiya Janata Party - BJP,240,240,Raver(4),DR. YOGENDRA VITTHAL KOLTE,Independent,lost,902,( -629977)
Bharatiya Janata Party - BJP,240,240,Raver(4),SHRIRAM OMKAR PATIL,Independent,lost,749,( -630130)
Bharatiya Janata Party - BJP,240,240,Raver(4),NOTA,None of the Above,,4100,( -626779)
Bharatiya Janata Party - BJP,240,240,Akola(6),ANUP SANJAY DHOTRE,Bharatiya Janata Party,won,457030,(+ 40626)
Bharatiya Janata Party - BJP,240,240,Akola(6),ABHAY KASHINATH PATIL,Indian National Congress,lost,416404,( -40626)
Bharatiya Janata Party - BJP,240,240,Akola(6),AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan  Aaghadi,lost,276747,( -180283)
Bharatiya Janata Party - BJP,240,240,Akola(6),ADV NAJIB SHAIKH,Indian National League,lost,3300,( -453730)
Bharatiya Janata Party - BJP,240,240,Akola(6),KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,lost,2760,( -454270)
Bharatiya Janata Party - BJP,240,240,Akola(6),MURLIDHAR LALSING PAWAR,Independent,lost,2066,( -454964)
Bharatiya Janata Party - BJP,240,240,Akola(6),ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,lost,1734,( -455296)
Bharatiya Janata Party - BJP,240,240,Akola(6),AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,lost,1618,( -455412)
Bharatiya Janata Party - BJP,240,240,Akola(6),UJWALA VINAYAK RAUT,Independent,lost,1306,( -455724)
Bharatiya Janata Party - BJP,240,240,Akola(6),DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,lost,1240,( -455790)
Bharatiya Janata Party - BJP,240,240,Akola(6),DILIP SHATRUGHAN MHAISANE,Independent,lost,862,( -456168)
Bharatiya Janata Party - BJP,240,240,Akola(6),ASHOK KISANRAO THORAT,Independent,lost,581,( -456449)
Bharatiya Janata Party - BJP,240,240,Akola(6),MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,lost,568,( -456462)
Bharatiya Janata Party - BJP,240,240,Akola(6),BABAN MAHADEV SAYAM,Janseva Gondwana Party,lost,537,( -456493)
Bharatiya Janata Party - BJP,240,240,Akola(6),PRITI PRAMOD SADANSHIV,Republican Party of India (Social),lost,536,( -456494)
Bharatiya Janata Party - BJP,240,240,Akola(6),NOTA,None of the Above,,5783,( -451247)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),NITIN JAIRAM GADKARI,Bharatiya Janata Party,won,655027,(+ 137603)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),VIKAS THAKRE,Indian National Congress,lost,517424,( -137603)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,lost,19242,( -635785)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,lost,2059,( -652968)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),ADARSH RAVISHANKAR THAKUR,Independent,lost,1750,( -653277)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),ADV ULHAS SHALIKRAM DUPARE,Independent,lost,1348,( -653679)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),FAHIM SHAMIM KHAN,Minorities Democratic Party,lost,1073,( -653954)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,lost,817,( -654210)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),TEKRAJ BELKHODE,Independent,lost,808,( -654219)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,lost,720,( -654307)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),DHANU WALTHARE,Independent,lost,692,( -654335)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),VIJAY MANKAR,Ambedkarite Party of India,lost,610,( -654417)
Bharatiya Janata Party - BJP,240,240,Nagpur(10),ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,lost,567,( -654460)
